Area,Months,Year,Temperature Change,date
Norway,9,1999,3.23,1999-09-01
Norway,10,1999,1.149,1999-10-01
Norway,11,1999,3.811,1999-11-01
Norway,12,1999,-1.198,1999-12-01
Norway,1,2000,3.476,2000-01-01
Norway,2,2000,3.107,2000-02-01
Norway,3,2000,1.354,2000-03-01
Norway,4,2000,1.491,2000-04-01
Norway,5,2000,1.848,2000-05-01
Norway,6,2000,-0.948,2000-06-01
Norway,7,2000,0.175,2000-07-01
Norway,8,2000,-0.217,2000-08-01
Norway,9,2000,0.888,2000-09-01
Norway,10,2000,3.448,2000-10-01
Norway,11,2000,3.852,2000-11-01
Norway,12,2000,1.584,2000-12-01
Norway,1,2001,3.338,2001-01-01
Norway,2,2001,-0.962,2001-02-01
Norway,3,2001,-2.519,2001-03-01
Norway,4,2001,0.149,2001-04-01
Norway,5,2001,0.371,2001-05-01
Norway,6,2001,0.204,2001-06-01
Norway,7,2001,0.872,2001-07-01
Norway,8,2001,0.39,2001-08-01
Norway,9,2001,1.309,2001-09-01
Norway,10,2001,1.695,2001-10-01
Norway,11,2001,1.062,2001-11-01
Norway,12,2001,-0.209,2001-12-01
Norway,1,2002,2.087,2002-01-01
Norway,2,2002,3.428,2002-02-01
Norway,3,2002,1.441,2002-03-01
Norway,4,2002,3.444,2002-04-01
Norway,5,2002,2.828,2002-05-01
Norway,6,2002,2.131,2002-06-01
Norway,7,2002,1.649,2002-07-01
Norway,8,2002,3.432,2002-08-01
Norway,9,2002,1.035,2002-09-01
Norway,10,2002,-2.238,2002-10-01
Norway,11,2002,-2.25,2002-11-01
Norway,12,2002,-1.981,2002-12-01
Norway,1,2003,-1.106,2003-01-01
Norway,2,2003,3.428,2003-02-01
Norway,3,2003,3.274,2003-03-01
Norway,4,2003,1.879,2003-04-01
Norway,5,2003,0.811,2003-05-01
Norway,6,2003,0.673,2003-06-01
Norway,7,2003,3.156,2003-07-01
Norway,8,2003,1.323,2003-08-01
Norway,9,2003,0.721,2003-09-01
Norway,10,2003,-1.253,2003-10-01
Norway,11,2003,2.475,2003-11-01
Norway,12,2003,1.67,2003-12-01
Norway,1,2004,0.487,2004-01-01
Norway,2,2004,2.198,2004-02-01
Norway,3,2004,2.578,2004-03-01
Norway,4,2004,3.17,2004-04-01
Norway,5,2004,1.534,2004-05-01
Norway,6,2004,-0.699,2004-06-01
Norway,7,2004,0.934,2004-07-01
Norway,8,2004,1.795,2004-08-01
Norway,9,2004,1.262,2004-09-01
Norway,10,2004,0.707,2004-10-01
Norway,11,2004,0.138,2004-11-01
Norway,12,2004,3.137,2004-12-01
Norway,1,2005,4.536,2005-01-01
Norway,2,2005,2.665,2005-02-01
Norway,3,2005,-0.076,2005-03-01
Norway,4,2005,2.452,2005-04-01
Norway,5,2005,-0.459,2005-05-01
Norway,6,2005,0.025,2005-06-01
Norway,7,2005,1.96,2005-07-01
Norway,8,2005,0.627,2005-08-01
Norway,9,2005,1.104,2005-09-01
Norway,10,2005,2.182,2005-10-01
Norway,11,2005,3.207,2005-11-01
Norway,12,2005,1.147,2005-12-01
Norway,1,2006,3.149,2006-01-01
Norway,2,2006,2.068,2006-02-01
Norway,3,2006,-2.633,2006-03-01
Norway,4,2006,1.485,2006-04-01
Norway,5,2006,1.665,2006-05-01
Norway,6,2006,0.967,2006-06-01
Norway,7,2006,1.728,2006-07-01
Norway,8,2006,2.711,2006-08-01
Norway,9,2006,2.754,2006-09-01
Norway,10,2006,0.738,2006-10-01
Norway,11,2006,2.448,2006-11-01
Norway,12,2006,5.637,2006-12-01
Norway,1,2007,2.262,2007-01-01
Norway,2,2007,-0.445,2007-02-01
Norway,3,2007,4.671,2007-03-01
Norway,4,2007,2.466,2007-04-01
Norway,5,2007,0.64,2007-05-01
Norway,6,2007,1.292,2007-06-01
Norway,7,2007,0.811,2007-07-01
Norway,8,2007,0.831,2007-08-01
Norway,9,2007,-0.371,2007-09-01
Norway,10,2007,1.899,2007-10-01
Norway,11,2007,0.747,2007-11-01
Norway,12,2007,3.545,2007-12-01
Norway,1,2008,4.358,2008-01-01
Norway,2,2008,4.925,2008-02-01
Norway,3,2008,0.32,2008-03-01
Norway,4,2008,1.661,2008-04-01
Norway,5,2008,1.039,2008-05-01
Norway,6,2008,0.38,2008-06-01
Norway,7,2008,1.371,2008-07-01
Norway,8,2008,-0.106,2008-08-01
Norway,9,2008,0.474,2008-09-01
Norway,10,2008,0.808,2008-10-01
Norway,11,2008,0.824,2008-11-01
Norway,12,2008,2.217,2008-12-01
Norway,1,2009,2.705,2009-01-01
Norway,2,2009,-0.164,2009-02-01
Norway,3,2009,1.701,2009-03-01
Norway,4,2009,2.929,2009-04-01
Norway,5,2009,2.097,2009-05-01
Norway,6,2009,-0.053,2009-06-01
Norway,7,2009,0.99,2009-07-01
Norway,8,2009,1.419,2009-08-01
Norway,9,2009,1.404,2009-09-01
